iter	RMSE
0	4188.207395
1	3900.023947
2	3643.443079
3	3414.622079
4	3212.164408
5	3034.59926
6	2875.767416
7	2739.185153
8	2621.934706
9	2518.649244
10	2430.040888
11	2334.049776
12	2252.330417
13	2182.102202
14	2121.882104
15	2070.397908
16	2025.99394
17	1987.62127
18	1946.127181
19	1910.414395
20	1879.645974
21	1853.751075
22	1828.131612
23	1808.043036
24	1789.812515
25	1773.725879
26	1760.491071
27	1746.597801
28	1729.103806
29	1714.372768
30	1701.36375
31	1685.886931
32	1674.810659
33	1661.889661
34	1650.628107
35	1642.957931
36	1632.929502
37	1622.095717
38	1612.465317
39	1605.836376
40	1600.424401
41	1594.332561
42	1588.141812
43	1582.682484
44	1576.267401
45	1571.435166
46	1565.348159
47	1560.946803
48	1556.079534
49	1551.939786
50	1547.629046
51	1543.648762
52	1539.315938
53	1537.075541
54	1533.725015
55	1528.624236
56	1526.480167
57	1523.005757
58	1517.454271
59	1513.664872
60	1510.987675
61	1507.723321
62	1504.742417
63	1502.954482
64	1502.815477
65	1499.293187
66	1494.793212
67	1492.215286
68	1489.805183
69	1487.173717
70	1484.772597
71	1481.438537
72	1476.864434
73	1473.974881
74	1473.916169
75	1471.584588
76	1469.049933
77	1466.60238
78	1464.361462
79	1462.277109
80	1459.797952
81	1457.713256
82	1457.674061
83	1455.297199
84	1453.046837
85	1453.034975
86	1446.936584
87	1445.141148
88	1442.044927
89	1439.463377
90	1436.244178
91	1432.849111
92	1428.35839
93	1426.647408
94	1426.640369
95	1423.329059
96	1419.978523
97	1417.708326
98	1415.25992
99	1413.179033
