iter	Passed	Remaining
0	88	73926
1	168	69899
2	253	70251
3	353	73258
4	430	71286
5	505	69619
6	601	70949
7	671	69286
8	725	66436
9	786	64752
10	850	63550
11	905	61967
12	967	61018
13	1039	60818
14	1112	60646
15	1181	60313
16	1237	59383
17	1306	59138
18	1371	58745
19	1427	58046
20	1524	58949
21	1624	59876
22	1696	59735
23	1771	59703
24	1848	59730
25	1925	59778
26	2009	59990
27	2086	59973
28	2148	59559
29	2210	59168
30	2278	58958
31	2336	58497
32	2397	58116
33	2481	58316
34	2548	58100
35	2614	57876
36	2692	57916
37	2756	57666
38	2824	57499
39	2895	57411
40	2976	57488
41	3036	57180
42	3122	57365
43	3193	57273
44	3267	57216
45	3326	56917
46	3391	56718
47	3455	56515
48	3519	56307
49	3604	56441
50	3659	56108
51	3716	55817
52	3780	55636
53	3857	55645
54	3926	55541
55	3999	55495
56	4066	55363
57	4135	55257
58	4210	55235
59	4295	55339
60	4357	55146
61	4430	55100
62	4496	54960
63	4577	54996
64	4642	54851
65	4727	54938
66	4793	54802
67	4857	54641
68	4927	54559
69	4994	54442
70	5068	54401
71	5120	54124
72	5171	53843
73	5237	53716
74	5308	53649
75	5363	53419
76	5430	53318
77	5496	53205
78	5557	53041
79	5635	53047
80	5703	52950
81	5765	52803
82	5827	52654
83	5888	52507
84	5947	52341
85	6022	52310
86	6085	52181
87	6151	52075
88	6229	52078
89	6311	52103
90	6373	51967
91	6439	51867
92	6518	51871
93	6576	51700
94	6665	51783
95	6725	51634
96	6784	51474
97	6856	51427
98	6911	51244
99	6965	51057
100	7031	50962
101	7102	50901
102	7172	50831
103	7231	50693
104	7323	50775
105	7381	50625
106	7465	50652
107	7529	50545
108	7621	50623
109	7724	50773
110	7788	50659
111	7845	50506
112	7902	50354
113	7965	50241
114	8051	50269
115	8112	50143
116	8124	49717
117	8191	49635
118	8269	49616
119	8342	49568
120	8401	49435
121	8465	49336
122	8519	49175
123	8597	49159
124	8665	49080
125	8757	49138
126	8825	49061
127	8897	49006
128	8961	48903
129	9024	48803
130	9085	48689
131	9154	48617
132	9228	48568
133	9317	48601
134	9381	48506
135	9441	48388
136	9507	48300
137	9578	48241
138	9632	48094
139	9727	48153
140	9809	48141
141	9884	48098
142	9951	48019
143	10001	47854
144	10080	47832
145	10138	47705
146	10211	47652
147	10294	47648
148	10358	47552
149	10432	47502
150	10497	47412
151	10559	47310
152	10638	47282
153	10716	47248
154	10783	47169
155	10854	47105
156	10921	47025
157	10994	46971
158	11058	46878
159	11123	46788
160	11192	46715
161	11257	46629
162	11347	46642
163	11437	46657
164	11484	46493
165	11566	46473
166	11628	46374
167	11696	46296
168	11781	46290
169	11870	46294
170	11952	46273
171	12025	46215
172	12095	46145
173	12155	46038
174	12237	46014
175	12317	45981
176	12399	45955
177	12461	45854
178	12538	45809
179	12615	45765
180	12667	45631
181	12740	45573
182	12818	45531
183	12902	45507
184	12953	45372
185	13031	45330
186	13120	45325
187	13195	45272
188	13262	45189
189	13325	45095
190	13407	45067
191	13489	45035
192	13578	45026
193	13627	44885
194	13689	44790
195	13770	44752
196	13842	44690
197	13912	44619
